operation,type,manufacturer,engine_type,engines,year_manufacturing,seating,fatalities
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,1981,21,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1979,7,6
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,1981,21,24
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1970,4,3
OPERADOR PARTICULAR,AVIÃO,MAULE AIRCRAFT,PISTÃO,MONOMOTOR,1991,5,1
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1974,1,1
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1973,6,1
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1984,6,5
OPERADOR DE AERONAVE,HELICÓPTERO,BELL HELICOPTER,TURBOEIXO,BIMOTOR,1988,15,0
OPERADOR DE AERONAVE,HELICÓPTERO,HELIBRAS,TURBOEIXO,BIMOTOR,1988,6,3
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,1987,2,2
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1968,6,3
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1982,6,4
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,TURBOÉLICE,BIMOTOR,1983,8,0
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,0,1,0
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1987,1,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1977,4,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,BIMOTOR,1995,6,4
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,1977,5,1
OPERADOR DE AERONAVE,AVIÃO,BEECH AIRCRAFT,PISTÃO,BIMOTOR,1979,2,0
AEROCLUBE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1960,4,4
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,TURBOÉLICE,BIMOTOR,1981,10,2
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,MONOMOTOR,1980,6,1
AEROCLUBE,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,1974,6,2
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,BIMOTOR,1973,6,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1979,6,0
OPERADOR DE AERONAVE,AVIÃO,BEECH AIRCRAFT,TURBOÉLICE,BIMOTOR,1969,7,0
OPERADOR PARTICULAR,AVIÃO,PIPER AIRCRAFT,TURBOÉLICE,BIMOTOR,1981,9,2
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,BIMOTOR,1970,6,1
OPERADOR DE AERONAVE,AVIÃO,PIPER AIRCRAFT,PISTÃO,MONOMOTOR,1976,1,1
AEROCLUBE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1988,4,2
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,1976,20,0
OPERADOR DE AERONAVE,AVIÃO,BEECH AIRCRAFT,PISTÃO,BIMOTOR,1971,6,3
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,TURBOÉLICE,BIMOTOR,1986,9,2
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1974,1,2
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1977,4,3
OPERADOR DE AERONAVE,AVIÃO,PIPER AIRCRAFT,PISTÃO,MONOMOTOR,1970,1,1
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,MONOMOTOR,1967,6,4
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1976,1,1
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1976,1,1
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1977,4,2
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1975,1,1
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1980,1,1
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1977,1,1
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1978,1,1
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1971,1,0
AEROCLUBE,AVIÃO,XAVANTE,PISTÃO,MONOMOTOR,1974,2,0
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,MONOMOTOR,1955,4,3
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1975,1,1
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1977,1,1
OPERADOR PARTICULAR,HELICÓPTERO,HUGHES HELICOPTER,PISTÃO,MONOMOTOR,1964,2,0
OPERADOR DE AERONAVE,HELICÓPTERO,HELIBRAS,TURBOEIXO,MONOMOTOR,1996,6,1
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,2004,1,1
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1980,6,2
OPERADOR PARTICULAR,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,1997,4,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1984,1,1
OPERADOR PARTICULAR,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1977,6,7
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1974,4,4
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1968,6,0
ESCOLA DE AVIAÇÃO,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,1997,4,2
OPERADOR DE AERONAVE,AVIÃO,PIPER AIRCRAFT,PISTÃO,MONOMOTOR,1976,1,0
OPERADOR PARTICULAR,AVIÃO,PIPER AIRCRAFT,PISTÃO,MONOMOTOR,1954,2,1
OPERADOR DE AERONAVE,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,1998,4,0
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1979,1,1
OPERADOR DE AERONAVE,HELICÓPTERO,EUROCOPTER FRANCE,TURBOEIXO,BIMOTOR,2002,27,5
OPERADOR PARTICULAR,HELICÓPTERO,EUROCOPTER FRANCE,TURBOEIXO,MONOMOTOR,2000,5,2
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,2004,1,1
OPERADOR PARTICULAR,AVIÃO,CIRRUS DESIGN,PISTÃO,MONOMOTOR,2007,4,4
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1989,4,4
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,2004,1,0
OPERADOR PARTICULAR,HELICÓPTERO,AGUSTA,TURBOEIXO,BIMOTOR,0,8,2
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,BIMOTOR,1990,6,0
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,0,4,3
OPERADOR PARTICULAR,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,1999,4,2
OPERADOR DE AERONAVE,AVIÃO,AIR TRACTOR,TURBOÉLICE,MONOMOTOR,2007,1,1
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,SEM TRAÇÃO,1971,0,1
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1987,1,0
OPERADOR PARTICULAR,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,2006,4,0
OPERADOR PARTICULAR,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,2001,4,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1976,4,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1993,2,0
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,BIMOTOR,1987,6,4
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,MONOMOTOR,1974,6,3
OPERADOR PARTICULAR,AVIÃO,PIPER AIRCRAFT,PISTÃO,MONOMOTOR,1969,4,3
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,MONOMOTOR,1981,6,1
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1973,1,1
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1976,1,1
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1978,1,0
AEROCLUBE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1970,2,0
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,BIMOTOR,1976,6,2
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1973,4,0
OPERADOR PARTICULAR,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,2005,4,2
OPERADOR PARTICULAR,AVIÃO,RAYTHEON AIRCRAFT,TURBOÉLICE,BIMOTOR,1999,11,14
OPERADOR PARTICULAR,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1994,7,5
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1981,4,2
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,0,4,3
ÓRGÃO PÚBLICO,HELICÓPTERO,SCHWEIZER,PISTÃO,MONOMOTOR,2007,2,0
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1980,1,1
OPERADOR PARTICULAR,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,2009,4,2
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1976,1,1
OPERADOR PARTICULAR,AVIÃO,***,PISTÃO,MONOMOTOR,2009,2,2
OPERADOR PARTICULAR,HELICÓPTERO,EUROCOPTER FRANCE,TURBOEIXO,MONOMOTOR,1994,6,1
OPERADOR PARTICULAR,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1981,6,2
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1981,6,1
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,2004,1,0
OPERADOR PARTICULAR,HELICÓPTERO,HELIBRAS,TURBOEIXO,MONOMOTOR,1999,7,0
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,BIMOTOR,1981,6,3
OPERADOR PARTICULAR,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,2005,4,0
ÓRGÃO PÚBLICO,AVIÃO,AIR TRACTOR,TURBOÉLICE,MONOMOTOR,2003,2,2
OPERADOR DE AERONAVE,AVIÃO,PIPER AIRCRAFT,TURBOÉLICE,BIMOTOR,1983,7,4
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1982,1,1
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,2005,2,1
OPERADOR PARTICULAR,ULTRALEVE,FABRICACAO PROPRIA,PISTÃO,MONOMOTOR,0,0,2
OPERADOR PARTICULAR,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,2004,4,1
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1975,4,2
OPERADOR PARTICULAR,AVIÃO,PIPER AIRCRAFT,PISTÃO,MONOMOTOR,1964,4,4
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1958,4,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,BIMOTOR,1989,7,1
OPERADOR DE AERONAVE,AVIÃO,BEECH AIRCRAFT,PISTÃO,BIMOTOR,1982,6,4
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,1979,7,3
OPERADOR PARTICULAR,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,2009,4,4
OPERADOR PARTICULAR,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,2005,4,1
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,1999,2,0
OPERADOR PARTICULAR,AVIÃO,PIPER AIRCRAFT,PISTÃO,MONOMOTOR,0,4,0
ESCOLA DE AVIAÇÃO,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,1992,2,2
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,TURBOÉLICE,BIMOTOR,0,8,0
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,BIMOTOR,1973,6,4
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,TURBOÉLICE,BIMOTOR,1981,12,6
OPERADOR PARTICULAR,HELICÓPTERO,BELL HELICOPTER,TURBOEIXO,MONOMOTOR,1969,5,1
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,0,4,0
ÓRGÃO PÚBLICO,HELICÓPTERO,HELIBRAS,TURBOEIXO,MONOMOTOR,2009,6,4
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,1998,2,2
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1974,4,2
OPERADOR PARTICULAR,ULTRALEVE,FABRICACAO PROPRIA,PISTÃO,MONOMOTOR,0,0,1
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,1990,2,0
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1978,2,0
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,2002,2,2
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1995,1,1
OPERADOR PARTICULAR,HELICÓPTERO,BELL HELICOPTER,TURBOEIXO,MONOMOTOR,1998,5,2
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,2000,2,0
OPERADOR PARTICULAR,HELICÓPTERO,HELIBRAS,TURBOEIXO,MONOMOTOR,1984,6,0
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1977,6,3
OPERADOR DE AERONAVE,AVIÃO,AIR TRACTOR,TURBOÉLICE,MONOMOTOR,2006,1,0
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,TURBOÉLICE,MONOMOTOR,1992,11,0
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1973,4,0
OPERADOR PARTICULAR,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,2008,4,4
OPERADOR PARTICULAR,HELICÓPTERO,EUROCOPTER FRANCE,TURBOEIXO,MONOMOTOR,2008,6,7
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,1994,2,2
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1976,6,0
OPERADOR DE AERONAVE,AVIÃO,AIRCRAFT INDUSTRIES,TURBOÉLICE,BIMOTOR,2010,21,16
OPERADOR PARTICULAR,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1976,8,8
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,2004,2,2
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,2003,1,1
OPERADOR DE AERONAVE,HELICÓPTERO,AGUSTA,TURBOEIXO,BIMOTOR,2007,14,4
OPERADOR PARTICULAR,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,1999,6,1
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1980,6,0
OPERADOR DE AERONAVE,AVIÃO,PIPER AIRCRAFT,PISTÃO,MONOMOTOR,1975,1,0
AEROCLUBE,PLANADOR,INDÚSTRIA PARANAENSE DE ESTRUTURAS,SEM TRAÇÃO,SEM TRAÇÃO,1981,1,1
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,MONOMOTOR,1953,4,2
OPERADOR PARTICULAR,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,2010,4,3
OPERADOR PARTICULAR,AVIÃO,JAMES F GUZMAN,PISTÃO,MONOMOTOR,1982,2,1
OPERADOR PARTICULAR,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,2008,4,2
OPERADOR PARTICULAR,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,2011,4,1
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1984,0,4
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,2003,1,0
OPERADOR PARTICULAR,AVIÃO,CIRRUS DESIGN,PISTÃO,MONOMOTOR,2008,4,2
OPERADOR PARTICULAR,HELICÓPTERO,SAFARI HELICOPTER CO. INTERNATIONAL,PISTÃO,MONOMOTOR,2010,2,0
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1977,1,1
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,MONOMOTOR,1999,6,3
OPERADOR PARTICULAR,AVIÃO,***,PISTÃO,MONOMOTOR,2007,2,1
