operation,type,manufacturer,engine_type,engines,year_manufacturing,seating,fatalities
OPERADOR PARTICULAR,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,1996,6,3
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,2000,1,1
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,2008,2,2
OPERADOR PARTICULAR,AVIÃO,NORTH AMERICAN,PISTÃO,MONOMOTOR,1955,2,2
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,TURBOÉLICE,BIMOTOR,2002,8,1
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,2008,6,2
ÓRGÃO PÚBLICO,HELICÓPTERO,AGUSTA,TURBOEIXO,MONOMOTOR,2010,8,8
AEROCLUBE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1979,4,2
AEROCLUBE,AVIÃO,PIPER AIRCRAFT,PISTÃO,MONOMOTOR,1975,4,1
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,0,4,1
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,2007,2,2
OPERADOR PARTICULAR,ULTRALEVE,FABRICACAO PROPRIA,PISTÃO,MONOMOTOR,0,0,2
OPERADOR DE AERONAVE,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,1973,3,0
OPERADOR PARTICULAR,AVIÃO,HAWKER BEECHCRAFT,TURBOÉLICE,BIMOTOR,2008,11,8
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1976,4,2
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1977,4,0
OPERADOR PARTICULAR,HELICÓPTERO,EUROCOPTER FRANCE,TURBOEIXO,MONOMOTOR,2009,6,0
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1998,4,1
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,2007,2,1
OPERADOR PARTICULAR,HELICÓPTERO,EUROCOPTER FRANCE,TURBOEIXO,MONOMOTOR,2012,7,1
OPERADOR PARTICULAR,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1980,6,2
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1974,6,1
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1979,6,3
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1981,6,6
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1977,1,0
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,2008,2,1
OPERADOR PARTICULAR,AVIÃO,JULIO CESAR MANDELLI,PISTÃO,MONOMOTOR,2010,3,2
ESCOLA DE AVIAÇÃO,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,1994,2,2
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1973,4,0
ESCOLA DE AVIAÇÃO,AVIÃO,PIPER AIRCRAFT,PISTÃO,MONOMOTOR,1966,1,1
OPERADOR PARTICULAR,ULTRALEVE,MAULE AIRCRAFT,PISTÃO,MONOMOTOR,0,0,1
OPERADOR PARTICULAR,ULTRALEVE,MAULE AIRCRAFT,PISTÃO,MONOMOTOR,0,0,1
OPERADOR PARTICULAR,ULTRALEVE,MAULE AIRCRAFT,PISTÃO,MONOMOTOR,0,0,1
ESCOLA DE AVIAÇÃO,AVIÃO,PIPER AIRCRAFT,PISTÃO,MONOMOTOR,2001,4,2
OPERADOR PARTICULAR,AVIÃO,CLAIBER VIEIRA BORGES,PISTÃO,MONOMOTOR,2012,2,2
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1962,4,4
OPERADOR DE AERONAVE,HELICÓPTERO,BELL HELICOPTER,TURBOEIXO,MONOMOTOR,2008,5,1
OPERADOR PARTICULAR,AVIÃO,EMBRAER,PISTÃO,MONOMOTOR,2012,1,1
OPERADOR PARTICULAR,HELICÓPTERO,ROBINSON HELICOPTER,TURBOEIXO,MONOMOTOR,2011,5,2
OPERADOR PARTICULAR,AVIÃO,CIRRUS DESIGN,PISTÃO,MONOMOTOR,2008,4,0
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1994,1,1
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,TURBOÉLICE,BIMOTOR,2001,8,5
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1984,1,1
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,TURBOÉLICE,MONOMOTOR,1995,11,0
OPERADOR PARTICULAR,AVIÃO,CIRRUS DESIGN,PISTÃO,MONOMOTOR,2007,4,2
OPERADOR PARTICULAR,AVIÃO,AIR TRACTOR,TURBOÉLICE,MONOMOTOR,2012,1,0
OPERADOR PARTICULAR,AVIÃO,CHELBER VICENTINI LILISCHKIES,PISTÃO,MONOMOTOR,2011,2,2
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,2004,2,1
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,2008,2,2
OPERADOR PARTICULAR,AVIÃO,AEROCENTRO AERONAVES,PISTÃO,MONOMOTOR,2013,4,1
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1980,6,1
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1980,1,1
OPERADOR PARTICULAR,AVIÃO,AIR TRACTOR,TURBOÉLICE,MONOMOTOR,2012,1,1
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1975,1,0
AEROCLUBE,AVIÃO,PIPER AIRCRAFT,PISTÃO,MONOMOTOR,1954,4,0
OPERADOR DE AERONAVE,AVIÃO,AIR TRACTOR,TURBOÉLICE,MONOMOTOR,2012,1,0
OPERADOR PARTICULAR,AVIÃO,RAYTHEON AIRCRAFT,PISTÃO,BIMOTOR,1975,6,6
OPERADOR PARTICULAR,AVIÃO,HAWKER BEECHCRAFT,PISTÃO,MONOMOTOR,2006,6,2
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,BIMOTOR,1982,6,4
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1980,4,1
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1973,6,0
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,MONOMOTOR,1974,6,0
OPERADOR PARTICULAR,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,2007,6,3
OPERADOR DE AERONAVE,HELICÓPTERO,MD HELICOPTERS,TURBOEIXO,MONOMOTOR,2007,7,0
OPERADOR PARTICULAR,HELICÓPTERO,ROBINSON HELICOPTER,TURBOEIXO,MONOMOTOR,2012,5,1
OPERADOR PARTICULAR,AVIÃO,EXTRA-FLUGZEUGBAU,PISTÃO,MONOMOTOR,2006,1,1
OPERADOR PARTICULAR,ULTRALEVE,FABRICACAO PROPRIA,PISTÃO,MONOMOTOR,0,0,2
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,2008,2,2
OPERADOR PARTICULAR,ANFÍBIO,***,PISTÃO,MONOMOTOR,0,0,0
ESCOLA DE AVIAÇÃO,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,2005,2,0
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1979,0,4
OPERADOR PARTICULAR,AVIÃO,PIPER AIRCRAFT,PISTÃO,MONOMOTOR,1974,1,0
ÓRGÃO PÚBLICO,HELICÓPTERO,BELL HELICOPTER,TURBOEIXO,MONOMOTOR,1991,7,4
OPERADOR PARTICULAR,HELICÓPTERO,EUROCOPTER FRANCE,TURBOEIXO,BIMOTOR,2010,10,5
OPERADOR PARTICULAR,AVIÃO,***,PISTÃO,MONOMOTOR,1968,4,2
OPERADOR PARTICULAR,AVIÃO,***,PISTÃO,MONOMOTOR,2003,2,1
OPERADOR PARTICULAR,PLANADOR,QUINTINO ROMAGNA FILHO,SEM TRAÇÃO,SEM TRAÇÃO,2013,1,1
OPERADOR DE AERONAVE,HELICÓPTERO,EUROCOPTER FRANCE,TURBOEIXO,BIMOTOR,1998,6,5
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,JATO,BIMOTOR,2010,14,7
OPERADOR PARTICULAR,AVIÃO,AIR TRACTOR,TURBOÉLICE,MONOMOTOR,2012,1,1
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1973,6,1
OPERADOR PARTICULAR,AVIÃO,HAWKER BEECHCRAFT,TURBOÉLICE,BIMOTOR,2008,8,3
OPERADOR PARTICULAR,HELICÓPTERO,BELL HELICOPTER,TURBOEIXO,MONOMOTOR,2009,7,5
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,BIMOTOR,1972,6,4
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1976,6,0
OPERADOR DE AERONAVE,HELICÓPTERO,BELL HELICOPTER,TURBOEIXO,MONOMOTOR,2010,5,3
OPERADOR PARTICULAR,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,2006,4,2
OPERADOR PARTICULAR,HELICÓPTERO,AGUSTA,TURBOEIXO,BIMOTOR,2010,8,2
OPERADOR DE AERONAVE,AVIÃO,BEECH AIRCRAFT,PISTÃO,BIMOTOR,1975,6,5
OPERADOR PARTICULAR,AVIÃO,COMMANDER,PISTÃO,MONOMOTOR,1976,4,0
OPERADOR DE AERONAVE,HELICÓPTERO,EUROCOPTER DEUTSCHLAND,TURBOEIXO,BIMOTOR,1996,6,0
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1977,6,4
OPERADOR PARTICULAR,AVIÃO,CIRRUS DESIGN,PISTÃO,MONOMOTOR,2007,4,0
OPERADOR PARTICULAR,AVIÃO,CIRRUS DESIGN,PISTÃO,MONOMOTOR,2000,4,2
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1977,1,1
ESCOLA DE AVIAÇÃO,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,2001,2,2
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1982,6,2
OPERADOR PARTICULAR,AVIÃO,AIR TRACTOR,TURBOÉLICE,MONOMOTOR,2009,1,1
OPERADOR PARTICULAR,AVIÃO,AIR TRACTOR,TURBOÉLICE,MONOMOTOR,2011,1,2
OPERADOR DE AERONAVE,AVIÃO,LAVIASA,PISTÃO,MONOMOTOR,2008,1,0
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1997,4,2
OPERADOR PARTICULAR,AVIÃO,AIR TRACTOR,TURBOÉLICE,MONOMOTOR,2013,1,0
OPERADOR DE AERONAVE,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,2008,4,0
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1983,6,2
OPERADOR DE AERONAVE,AVIÃO,PIPER AIRCRAFT,PISTÃO,MONOMOTOR,1976,1,1
OPERADOR DE AERONAVE,AVIÃO,LAVIASA,PISTÃO,MONOMOTOR,1999,1,1
OPERADOR PARTICULAR,AVIÃO,INPAER INDUSTRIA PAULISTA E AERONÁUTICA,PISTÃO,MONOMOTOR,2013,4,0
OPERADOR PARTICULAR,AVIÃO,EDEVALDO MARTINS FERREIRA,PISTÃO,MONOMOTOR,2012,4,2
OPERADOR PARTICULAR,AVIÃO,ROGER AGNELLI,TURBOÉLICE,MONOMOTOR,2012,8,7
OPERADOR PARTICULAR,INDETERMINADA,STOCO AVIAÇÃO,***,SEM TRAÇÃO,0,4,1
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1951,2,2
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,0,4,0
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1976,4,1
AEROCLUBE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1971,4,0
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1981,1,1
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1976,1,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1979,1,1
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1982,1,1
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,MONOMOTOR,1972,6,1
OPERADOR PARTICULAR,AVIÃO,PIPER AIRCRAFT,PISTÃO,MONOMOTOR,1974,4,0
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1968,1,1
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,MONOMOTOR,1990,5,0
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1986,1,0
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1995,1,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1999,1,1
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1991,7,3
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,2011,1,0
OPERADOR PARTICULAR,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,1997,6,2
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1976,7,5
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,JATO,BIMOTOR,1998,10,4
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,MONOMOTOR,1991,6,3
OPERADOR PARTICULAR,HELICÓPTERO,BELL HELICOPTER,TURBOEIXO,MONOMOTOR,1998,5,3
OPERADOR PARTICULAR,HELICÓPTERO,HELIBRAS,TURBOEIXO,MONOMOTOR,1998,6,5
OPERADOR PARTICULAR,ULTRALEVE,PETRO JET SALES,PISTÃO,MONOMOTOR,1986,2,1
OPERADOR PARTICULAR,ULTRALEVE,AEROBRAVO LTDA,PISTÃO,MONOMOTOR,0,0,1
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,2009,2,1
OPERADOR PARTICULAR,ULTRALEVE,ESC RIB PRET DE PIL VEIC AUTOPROPULSADO,PISTÃO,MONOMOTOR,2011,2,1
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,2005,2,0
OPERADOR PARTICULAR,INDETERMINADA,***,***,SEM TRAÇÃO,0,0,1
OPERADOR PARTICULAR,ULTRALEVE,FLU ULTRALEVES,PISTÃO,MONOMOTOR,1991,2,1
OPERADOR PARTICULAR,ULTRALEVE,PARTICULAR,PISTÃO,MONOMOTOR,2014,2,2
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,2002,2,0
OPERADOR PARTICULAR,ULTRALEVE,***,***,SEM TRAÇÃO,0,0,2
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,1998,2,1
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,2003,2,2
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,2007,2,3
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,2002,2,2
OPERADOR PARTICULAR,ULTRALEVE,EDRA INDUSTRIA AERONAUTICA LTDA,PISTÃO,MONOMOTOR,2012,2,1
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,2007,2,2
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,2009,2,0
OPERADOR PARTICULAR,ULTRALEVE,EURIPIDES MOURA FERREIRA FILHO,PISTÃO,MONOMOTOR,2012,2,0
OPERADOR PARTICULAR,ULTRALEVE,JOAO LUIZ FAUSTINO,PISTÃO,MONOMOTOR,2011,2,1
OPERADOR PARTICULAR,ULTRALEVE,JOSE ANTONIO ZATTAR JR,PISTÃO,MONOMOTOR,2012,2,0
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,1990,2,1
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,2006,2,0
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,0,0,0
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,0,0,0
OPERADOR PARTICULAR,AVIÃO,***,***,***,0,NULL,1
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,***,***,1964,NULL,1
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,NULL,NULL,1
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,NULL,NULL,1
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,NULL,NULL,1
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,PISTÃO,MONOMOTOR,NULL,NULL,0
OPERADOR PARTICULAR,AVIÃO,SOCATA,TURBOÉLICE,MONOMOTOR,2015,NULL,2
OPERADOR PARTICULAR,ULTRALEVE,***,***,***,2015,NULL,1
OPERADOR PARTICULAR,ULTRALEVE,***,***,***,2015,NULL,1
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1969,6,0
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,0,NULL,1
OPERADOR PARTICULAR,ULTRALEVE,***,***,***,NULL,NULL,1
OPERADOR PARTICULAR,AVIÃO,***,***,***,NULL,NULL,2
OPERADOR PARTICULAR,AVIÃO,TRIKE ICAROS LTDA,***,***,NULL,NULL,2
OPERADOR PARTICULAR,INDETERMINADA,***,***,***,NULL,NULL,1
OPERADOR DE AERONAVE,AVIÃO,QUEST AIRCRAFT,TURBOÉLICE,MONOMOTOR,2015,NULL,0
OPERADOR PARTICULAR,AVIÃO,KORTH SIMEON R \t,PISTÃO,MONOMOTOR,2004,2,0
OPERADOR PARTICULAR,AVIÃO,EMBRAER,PISTÃO,MONOMOTOR,2017,1,0
OPERADOR PARTICULAR,AVIÃO,AEROBRAVO INDÚSTRIA AERONÁUTICA LTDA,PISTÃO,MONOMOTOR,2016,2,0
